country,family,field_months,harvest_reference,last_verified_at,name_ar,name_en,note,nursery_months,production_allowed,review_status,slug,source_id
AE,Cucurbits,"['Mar', 'Apr', 'Sep', 'Oct', 'Nov']",35 days,2026-09-12,كوسة,Zucchini,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar', 'Aug', 'Sep', 'Oct']",True,verified,zucchini,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cucurbits,"['Mar', 'Apr', 'Sep', 'Oct']",40 days,2026-09-12,خيار,Cucumber,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar', 'Aug', 'Sep']",True,verified,cucumber,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cucurbits,"['Mar', 'Apr']",75-80 days,2026-09-12,شمام,Muskmelon,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar']",True,verified,muskmelon,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cucurbits,"['Mar', 'Apr']",80-90 days,2026-09-12,بطيخ,Watermelon,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar']",True,verified,watermelon,UAE_MOCCAE_PLANTING_CALENDAR
AE,Solanaceae,,100-120 days,2026-09-12,بطاطس,Potato,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,potato,UAE_MOCCAE_PLANTING_CALENDAR
AE,Solanaceae,"['Sep', 'Oct', 'Nov']",60-70 days,2026-09-12,فلفل,Pepper,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Aug', 'Sep', 'Oct']",True,verified,pepper,UAE_MOCCAE_PLANTING_CALENDAR
AE,Solanaceae,"['Sep', 'Oct', 'Nov']",70-80 days,2026-09-12,باذنجان,Eggplant,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Aug', 'Sep', 'Oct']",True,verified,eggplant,UAE_MOCCAE_PLANTING_CALENDAR
AE,Solanaceae,"['Sep', 'Oct', 'Nov']",85-90 days,2026-09-12,طماطم,Tomato,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Aug', 'Sep', 'Oct']",True,verified,tomato,UAE_MOCCAE_PLANTING_CALENDAR
AE,Compositae,"['Oct', 'Nov', 'Dec']",50-60 days,2026-09-12,خس,Lettuce,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov']",True,verified,lettuce,UAE_MOCCAE_PLANTING_CALENDAR
AE,Tiliaceae,"['Feb', 'Mar']",50-60 days,2026-09-12,ملوخية,Jew's Mallow,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,,True,verified,jews-mallow,UAE_MOCCAE_PLANTING_CALENDAR
AE,Malvaceae,"['Mar', 'Apr']",50-60 days,2026-09-12,بامية,Okra,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar']",True,verified,okra,UAE_MOCCAE_PLANTING_CALENDAR
AE,Convolvulaceae,,90-120 days,2026-09-12,بطاطا حلوة,Sweet Potato,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar', 'Dec']",True,verified,sweet-potato,UAE_MOCCAE_PLANTING_CALENDAR
AE,Rosaceae,"['Oct', 'Nov', 'Dec']",120-180 days,2026-09-12,فراولة,Strawberry,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov']",True,verified,strawberry,UAE_MOCCAE_PLANTING_CALENDAR
AE,Poaceae,"['Feb', 'Mar', 'Oct', 'Nov']",source lists 70-190 and 120-130 days; requires crop/season disambiguation,2026-09-12,ذرة سكرية,Sweet Corn,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,,True,verified,sweet-corn,UAE_MOCCAE_PLANTING_CALENDAR
AE,Apiaceae,"['Oct', 'Nov']",50-60 days,2026-09-12,كزبرة,Coriander,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,,True,verified,coriander,UAE_MOCCAE_PLANTING_CALENDAR
AE,Apiaceae,"['Oct', 'Nov']",60 days,2026-09-12,بقدونس,Parsley,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,,True,verified,parsley,UAE_MOCCAE_PLANTING_CALENDAR
AE,Apiaceae,,100-120 days,2026-09-12,جزر,Carrot,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,carrot,UAE_MOCCAE_PLANTING_CALENDAR
AE,Chenopodiaceae,,100-120 days,2026-09-12,سلق,Swiss Chard,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov']",True,verified,chard,UAE_MOCCAE_PLANTING_CALENDAR
AE,Chenopodiaceae,,50-60 days,2026-09-12,سبانخ,Spinach,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov', 'Dec']",True,verified,spinach,UAE_MOCCAE_PLANTING_CALENDAR
AE,Chenopodiaceae,,75-80 days,2026-09-12,شمندر,Beetroot,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,beetroot,UAE_MOCCAE_PLANTING_CALENDAR
AE,Amaryllidaceae,,45-60 days,2026-09-12,كراث,Leek,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct']",True,verified,leek,UAE_MOCCAE_PLANTING_CALENDAR
AE,Amaryllidaceae,,180 days,2026-09-12,ثوم,Garlic,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,['Nov'],True,verified,garlic,UAE_MOCCAE_PLANTING_CALENDAR
AE,Amaryllidaceae,"['Oct', 'Nov', 'Dec']",source lists 150 days / 60 days; context requires disambiguation,2026-09-12,بصل,Onion,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov']",True,verified,onion,UAE_MOCCAE_PLANTING_CALENDAR
