authority_level,country,id,language,legal_review_note,license,license_note,note,organization,production_allowed,retrieved_at,source_type,title,url
federal,AE,UAE_MOCCAE_FARMER_SUPPORT,ar,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Farmer Support Materials Request,https://www.moccae.gov.ae/ar/services/support-farmers
federal,AE,UAE_MOCCAE_AGRI_ACTIVITY_LICENSE,ar,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Permit for Agricultural Activity Practice,https://moccae.gov.ae/ar/services/permit-for-agricultural-activity-practice-new
federal,AE,UAE_MOCCAE_PESTICIDE_REGISTRATION,en,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Registration of pesticide,https://moccae.gov.ae/Handlers/DownloadPDF.ashx?id=67860
international,GLOBAL,FAO_CROPWAT,en,,,,,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_authority,CROPWAT 8.0,https://www.fao.org/land-water/resources/tools/software/cropwat/en
international,GLOBAL,FAO_56_ETC,en,,,,,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_authority,FAO Irrigation and Drainage Paper 56 - Crop Evapotranspiration,https://www.fao.org/4/x0490E/x0490e0a.htm
international,GLOBAL,FAO_WATER_QUALITY,en,,,,,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_authority,Water quality for agriculture - Irrigation and Drainage Paper 29 Rev.1,https://www.fao.org/4/t0234e/t0234e00.htm
international,GLOBAL,FAO_GREENHOUSE_HORT,en,,,,,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_authority,Good Agricultural Practices for greenhouse vegetable crops,https://www.fao.org/docrep/018/i3284e/i3284e.pdf
international,GLOBAL,FAO_AGROVOC,multi,,CC BY IGO 3.0 for FAO languages including Arabic and English,,,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,open_linked_data,AGROVOC multilingual thesaurus,https://www.fao.org/agrovoc/access
international,GLOBAL,FAO_ECOCROP,en,,,,Discontinued around 2015; use as historical/reference environmental requirement dataset and verify freshness.,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_database,ECOCROP - Database of Crop Constraints and Characteristics,https://www.fao.org/land-water/resources/tools/databases/ecocrop/en
international,GLOBAL,FAO_CROP_CALENDAR,multi,,,,FAO states data are validated by respective national authorities where available.,Food and Agriculture Organization of the United Nations (FAO),True,2026-09-12,international_database,FAO Crop Calendar,https://cropcalendar.apps.fao.org/
national,US,USDA_PLANTS,en,,,,"Useful for taxonomy/names, not UAE agronomic recommendations.",USDA Natural Resources Conservation Service,True,2026-09-12,government_database,USDA PLANTS Database,https://plants.sc.egov.usda.gov/downloads
extension,US,UMN_CUCURBIT_SPACING,en,,,,Verified reference but not UAE-local; requires agronomist/local validation before driving UAE calculator defaults.,University of Minnesota Extension,False,2026-09-12,university_extension,Flower and fruit set in cucurbits / vining vegetable growing guide,https://extension.umn.edu/agriculture/specialty-crops/commercial-fruit-production/vining-vegetable-growing-guide
extension,US,UMN_POWDERY_CUCURBITS,en,,,,Symptoms/biology useful globally; chemical recommendations must be locally registered/label-verified.,University of Minnesota Extension,True,2026-09-12,university_extension,Powdery mildew of cucurbits,https://extension.umn.edu/agriculture/specialty-crops/vegetable-farming/disease-management/powdery-mildew-of-cucurbits
extension,US,UMN_DOWNY_CUCURBITS,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,"Downy mildew of cucumber, melon and squash",https://extension.umn.edu/agriculture/specialty-crops/vegetable-farming/disease-management/downy-mildew-of-cucurbits
extension,US,UMN_BACTERIAL_SPOT,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,Bacterial spot of tomato and pepper,https://extension.umn.edu/agriculture/specialty-crops/vegetable-farming/disease-management/bacterial-spot-of-tomato-and-pepper
extension,US,UMN_SPIDER_MITE,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,Twospotted spider mites in home gardens,https://extension.umn.edu/garden-and-home/yard-and-garden/yard-and-garden-insects/spider-mites
extension,US,UMN_APHIDS,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,Aphids in home yards and gardens,https://extension.umn.edu/garden-and-home/yard-and-garden/yard-and-garden-insects/aphids
extension,US,UMN_WHITEFLY,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,Whiteflies,https://apps.extension.umn.edu/garden/diagnose/insect/garden/flies/small/whitefly.html
extension,US,UMN_DIAG_CUCUMBER,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,What's wrong with my plant? - Cucumber leaf diagnostics,https://apps.extension.umn.edu/garden/diagnose/plant/vegetable/cucumber/leavesdiscolored.html
extension,US,UMN_DIAG_PEPPER,en,,,,,University of Minnesota Extension,True,2026-09-12,university_extension,What's wrong with my plant? - Pepper fruit/leaf diagnostics,https://apps.extension.umn.edu/garden/diagnose/plant/vegetable/pepper/fruitspots.html
